Age,MonthlyIncome,JobSatisfaction,YearsAtCompany,OverTime,JobLevel,WorkLifeBalance,DistanceFromHome,Attrition
60,7923,4,12,Yes,3,1,26,Yes
53,17089,1,10,Yes,2,1,9,No
25,14415,1,3,No,1,1,3,Yes
51,7048,3,20,No,5,3,20,No
58,5608,2,3,No,4,3,25,Yes
44,15971,4,9,No,2,2,26,Yes
60,14782,3,4,No,2,2,11,No
36,9658,1,8,No,3,1,6,No
50,12748,2,2,No,3,4,2,No
57,9900,3,16,No,5,4,7,No
34,5670,2,2,Yes,5,3,18,Yes
53,12374,3,15,Yes,1,3,27,No
28,17651,2,3,Yes,1,3,2,Yes
43,4755,1,17,Yes,5,2,27,Yes
49,3654,4,16,Yes,5,2,17,No
23,6999,1,6,No,4,3,11,Yes
27,8795,4,4,No,3,3,27,No
49,8697,2,11,Yes,1,3,12,Yes
49,13883,3,16,Yes,3,4,27,No
41,12388,1,12,Yes,3,2,19,No
51,14683,4,2,No,5,4,22,Yes
32,15415,1,8,No,4,4,24,No
49,15374,4,16,No,2,3,25,No
46,4148,1,16,No,4,3,7,Yes
60,8039,4,19,No,4,1,20,No
54,12137,4,15,No,3,1,6,No
22,6699,2,12,Yes,4,4,21,Yes
48,14615,4,18,No,1,2,24,No
34,10945,2,16,No,3,3,1,Yes
